PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [18, 12, 19, 11], [20, 13, 21, 14], [6, 15, 7, 16], [24, 18, 1, 17], [22, 20, 23, 19], [12, 21, 13, 22], [14, 24, 15, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [11, 18, 12, 19], [13, 21, 14, 20], [6, 15, 7, 16], [17, 24, 18, 1], [19, 22, 20, 23], [21, 13, 22, 12], [23, 14, 24, 15]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 17, 8, 16], [9, 2, 10, 3], [18, 12, 19, 11], [20, 13, 21, 14], [15, 7, 16, 6], [24, 18, 1, 17], [22, 20, 23, 19], [12, 21, 13, 22], [14, 24, 15, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [18, 12, 19, 11], [20, 13, 21, 14], [6, 15, 7, 16], [24, 18, 1, 17], [22, 19, 23, 20], [14, 21, 15, 22], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [11, 18, 12, 19], [13, 21, 14, 20], [6, 15, 7, 16], [17, 24, 18, 1], [19, 23, 20, 22], [21, 15, 22, 14], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 17, 8, 16], [9, 2, 10, 3], [18, 12, 19, 11], [20, 13, 21, 14], [15, 7, 16, 6], [24, 18, 1, 17], [22, 19, 23, 20], [14, 21, 15, 22], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [18, 11, 19, 12], [20, 13, 21, 14], [22, 16, 23, 15], [6, 18, 7, 17], [12, 19, 13, 20], [24, 21, 1, 22], [14, 24, 15, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [18, 11, 19, 12], [20, 14, 21, 13], [22, 16, 23, 15], [6, 18, 7, 17], [24, 19, 1, 20], [14, 22, 15, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [11, 19, 12, 18], [13, 20, 14, 21], [15, 22, 16, 23], [6, 18, 7, 17], [19, 1, 20, 24], [21, 14, 22, 15], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 16, 8, 17], [9, 2, 10, 3], [18, 11, 19, 12], [20, 14, 21, 13], [22, 16, 23, 15], [17, 6, 18, 7], [24, 19, 1, 20], [14, 22, 15, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [18, 11, 19, 12], [20, 14, 21, 13], [24, 15, 1, 16], [6, 18, 7, 17], [22, 20, 23, 19], [14, 22, 15, 21], [12, 23, 13, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [18, 11, 19, 12], [22, 14, 23, 13], [20, 16, 21, 15], [6, 18, 7, 17], [24, 19, 1, 20], [14, 22, 15, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [11, 19, 12, 18], [13, 22, 14, 23], [15, 20, 16, 21], [6, 18, 7, 17], [19, 1, 20, 24], [21, 14, 22, 15], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 16, 8, 17], [9, 2, 10, 3], [18, 11, 19, 12], [22, 14, 23, 13], [20, 16, 21, 15], [17, 6, 18, 7], [24, 19, 1, 20], [14, 22, 15, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [20, 11, 21, 12], [18, 13, 19, 14], [22, 16, 23, 15], [6, 18, 7, 17], [12, 19, 13, 20], [24, 21, 1, 22], [14, 24, 15, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [11, 21, 12, 20], [13, 19, 14, 18], [15, 22, 16, 23], [6, 18, 7, 17], [19, 13, 20, 12], [21, 1, 22, 24], [23, 14, 24, 15]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 16, 8, 17], [9, 2, 10, 3], [20, 11, 21, 12], [18, 13, 19, 14], [22, 16, 23, 15], [17, 6, 18, 7], [12, 19, 13, 20], [24, 21, 1, 22], [14, 24, 15, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 16, 8, 17], [9, 2, 10, 3], [20, 11, 21, 12], [18, 13, 19, 14], [15, 22, 16, 23], [17, 6, 18, 7], [12, 19, 13, 20], [21, 1, 22, 24], [23, 14, 24, 15]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 16, 8, 17], [9, 2, 10, 3], [11, 21, 12, 20], [13, 19, 14, 18], [22, 16, 23, 15], [17, 6, 18, 7], [19, 13, 20, 12], [24, 21, 1, 22], [14, 24, 15, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [20, 11, 21, 12], [22, 13, 23, 14], [6, 15, 7, 16], [24, 18, 1, 17], [14, 19, 15, 20], [12, 21, 13, 22], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [22, 12, 23, 11], [18, 14, 19, 13], [6, 15, 7, 16], [20, 18, 21, 17], [14, 20, 15, 19], [24, 22, 1, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [22, 12, 23, 11], [13, 18, 14, 19], [6, 15, 7, 16], [17, 20, 18, 21], [19, 14, 20, 15], [24, 22, 1, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [11, 22, 12, 23], [18, 14, 19, 13], [6, 15, 7, 16], [20, 18, 21, 17], [14, 20, 15, 19], [21, 24, 22, 1], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [11, 22, 12, 23], [13, 18, 14, 19], [6, 15, 7, 16], [17, 20, 18, 21], [19, 14, 20, 15], [21, 24, 22, 1], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 17, 8, 16], [9, 2, 10, 3], [22, 12, 23, 11], [18, 14, 19, 13], [15, 7, 16, 6], [20, 18, 21, 17], [14, 20, 15, 19], [24, 22, 1, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 17, 8, 16], [9, 2, 10, 3], [22, 12, 23, 11], [13, 18, 14, 19], [15, 7, 16, 6], [17, 20, 18, 21], [19, 14, 20, 15], [24, 22, 1, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 17, 8, 16], [9, 2, 10, 3], [11, 22, 12, 23], [18, 14, 19, 13], [15, 7, 16, 6], [20, 18, 21, 17], [14, 20, 15, 19], [21, 24, 22, 1], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [22, 12, 23, 11], [18, 13, 19, 14], [20, 15, 21, 16], [6, 18, 7, 17], [14, 19, 15, 20], [24, 22, 1, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [11, 22, 12, 23], [18, 13, 19, 14], [20, 15, 21, 16], [6, 18, 7, 17], [14, 19, 15, 20], [21, 24, 22, 1], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 16, 8, 17], [9, 2, 10, 3], [22, 12, 23, 11], [13, 19, 14, 18], [15, 21, 16, 20], [17, 6, 18, 7], [19, 15, 20, 14], [24, 22, 1, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 7, 17, 8], [9, 2, 10, 3], [22, 11, 23, 12], [20, 13, 21, 14], [6, 15, 7, 16], [24, 18, 1, 17], [14, 19, 15, 20], [12, 21, 13, 22], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [16, 8, 17, 7], [9, 2, 10, 3], [22, 11, 23, 12], [24, 13, 1, 14], [20, 16, 21, 15], [6, 18, 7, 17], [14, 20, 15, 19], [18, 22, 19, 21], [12, 23, 13, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [18, 7, 19, 8], [9, 2, 10, 3], [22, 11, 23, 12], [24, 13, 1, 14], [20, 15, 21, 16], [6, 17, 7, 18], [14, 19, 15, 20], [16, 21, 17, 22], [12, 23, 13, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [14, 10, 15, 9], [18, 12, 19, 11], [6, 14, 7, 13], [22, 16, 23, 15], [10, 18, 11, 17], [24, 19, 1, 20], [16, 22, 17, 21], [20, 23, 21, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [9, 14, 10, 15], [11, 18, 12, 19], [6, 14, 7, 13], [15, 22, 16, 23], [17, 10, 18, 11], [19, 1, 20, 24], [21, 16, 22, 17], [23, 21, 24, 20]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 12, 6, 13], [7, 3, 8, 2], [14, 10, 15, 9], [18, 12, 19, 11], [13, 6, 14, 7], [22, 16, 23, 15], [10, 18, 11, 17], [24, 19, 1, 20], [16, 22, 17, 21], [20, 23, 21, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [14, 10, 15, 9], [18, 11, 19, 12], [6, 14, 7, 13], [22, 15, 23, 16], [20, 18, 21, 17], [10, 19, 11, 20], [24, 21, 1, 22], [16, 23, 17, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [9, 14, 10, 15], [11, 19, 12, 18], [6, 14, 7, 13], [15, 23, 16, 22], [17, 20, 18, 21], [19, 11, 20, 10], [21, 1, 22, 24], [23, 17, 24, 16]]
